id,Name,titleProject_id,class,score,login, password
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,0kS7S3tB
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,Q1xdIdmf
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,AlH3n20o
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,akOkSAd2
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,25nBScQX
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,7I6012tO
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,FPvpg9T2
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,5wC9WAR5
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,hdtDodVQ
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,56oF02yU
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,KDyu5p1i
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,Tgu8DJ1S
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,GwN37RXH
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,A24f4R01
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,VhR3q2mC
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,ozs0Sa9H
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,Q59nRIRy
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,n0CTl5Me
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,k4ZQX15X
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,pxg1C8n1
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,IyFQx48W
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,E9SyJBNO
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,6pBytY6q
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,OG537584
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,G8mZU5z7
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,Cq8WWmkk
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,Bdk70Kfu
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,c87M3Q5u
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,RI0cl4sL
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,QONltR5r
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,z20072G8
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,J1JZt3rP
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,07QoaG5x
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,By1Ji785
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,9EPWoQ8c
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,DKx82COL
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,bM2vgVQV
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,517tg7NV
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,9ECG1vt2
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,ah98zU8l
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,WmI8pOtk
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,OyEdHF40
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,UGb7OP8n
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,O1n3fG5k
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,y367okYK
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,oP6sQm5W
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,xH72VPK9
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,x746T59S
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,A332Z1Jf
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,W2yFN8Va
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,VH9M8CCE
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,kF3N539Y
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,5w4u8qMW
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,1z65A695
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,9z6367tN
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,5np1ESKl
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,Vn1GW0b1
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,5neO8x27
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,z6P445k6
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,w846L99w
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,Q0qD1azJ
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,JUPC0ob2
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,i6FTzWPJ
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,lF7CK7d3
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,tC60e58J
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,XtLl38r9
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,50iBHJcP
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,T4w1tUR1
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,L36HqR08
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,8g00OeiC
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,WNJu98Sr
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,18v91lc0
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,WWaJnLe5
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,jxHGo4rv
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,5HgIwMay
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,yq9Va8IU
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,DTMCs72r
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,05NZmh1S
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,a093ak8q
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,3d4q69u1
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,40Xp800X
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,6085f0CV
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,31e83l04
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,Q5zTqpn4
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,cJ9Pea67
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,0ZNiEJf4
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,fK6vUG5Q
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,n36U07O6
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,S73rAs89
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,Qha1RXsj
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,T6C5990x
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,9038oy8D
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,3Fi2nnF9
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,iQPZab7r
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,R9IbykJ6
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,cG2hr1T8
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,93yi7L4b
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,rU91sF1m
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,kz5hMOmc
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,2a2U51L5
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,83QhBl4I
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,2Ov1IF3r
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,M236TJ8J
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,P9XK9m05
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,6IW4K56v
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,88tE93X0
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,yrVZ334F
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,H076Z87a
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,Bf6nA063
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,HtqGMDOo
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,E83zsR65
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,ux6nL2eQ
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,eaItXfg6
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,v42GEJu3
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,ey1m582m
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,F8VCjX8X
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,3yVW9I0y
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,EDe38Mf1
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,pBcB18zg
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,wrn9B7sP
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,0st6Z64E
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,pf6Vg662
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,17a8I595
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,MZ33Wwdh
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,XlwMZtrO
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,4y8eOIdj
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,11X7574I
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,UZYW4kbP
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,gL0qe3TG
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,01d2C0YI
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,QCwYdM5U
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,D0ePbx0t
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,0gbM1E3W
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,742290yx
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,Vo3vO2UC
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,5XfKBz3d
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,Vo2ElHHE
278,Углова Галина Романовна,260,9г,3,Углова_ГР,EvZ89ww3
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,Wv2MBFNH
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,XSGc9kq8
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,4Km6F0H0
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,D6x3y922
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,J9s79xvL
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,srnM9PpS
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,3Eq0S4DK
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,h68kIlmV
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,95kzHYl8
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,I4xaW5G7
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,yEC9WVG2
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,CkxFEj8N
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,mGf5kYRp
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,8HA4F1BO
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,8gisuXNt
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,U8Gah4sL
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,28S566Su
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,d8Qp8sBi
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,I8qHNL31
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,882dAxut
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,dudk287g
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,N6n8O2qz
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,249jqH06
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,uq54Re9e
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,MB1TtoSS
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,8915sy85
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,S311hHpl
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,34uxFczz
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,07Ny1QsZ
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,B6Glyyr9
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,11w75hBF
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,B89870U8
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,br1E7359
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,0EHzZN43
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,8cMaE3cD
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,HVS60nLM
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,44UhS964
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,h456H8v9
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,6CZ27llC
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,AlP43qu0
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,bL8iL72G
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,I060WyXj
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,0K4Cjw06
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,0pQY1xkO
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,993T8eB7
324,Люцарева Яна Аркадьевна,376,11б,2,Люцарева_ЯА,4IeJWYXr
325,Боготынина София Егоровна,63,11б,5,Боготынина_СЕ,0LE1MoY3
326,Саюшкин Игорь Алексиевич,211,11х,5,Саюшкин_ИА,MI91u3QT
327,Потешных Тамара Николаевна,468,11в,3,Потешных_ТН,Pl43T1Ug
